,PrePost,mean_var
0,ealry_learning,12.14847031
1,ealry_learning,13.24264592
2,ealry_learning,15.35057635
3,ealry_learning,12.83176721
4,ealry_learning,10.26507003
5,ealry_learning,10.92066079
6,ealry_learning,14.26187242
7,ealry_learning,14.04675834
8,ealry_learning,10.83663573
9,ealry_learning,11.24831917
10,ealry_learning,11.16516956
11,pre,6.610922709
12,pre,8.470654501
13,pre,10.02102635
14,pre,5.514171366
15,pre,8.612038711
16,post,12.36946911
17,post,12.42288011
18,post,12.69811748
19,post,14.90273763
20,post,16.47322992
