,Infusion,Change in levels,Change in levels day before,Training stage,Start level,Animal
0,AP5,1,7,early (levels 12-20),14,EJT179
1,AP5,-2,7,middle (levels 21-35),22,EJT179
2,AP5,-2,0,late (levels 36-49),38,EJT179
3,AP5,-6,3,early (levels 12-20),17,EJT180
4,AP5,-5,-1,middle (levels 21-35),28,EJT180
5,AP5,-1,3,middle (levels 21-35),28,EJT180
6,AP5,-7,3,early (levels 12-20),13,EJT181
7,AP5,6,1,middle (levels 21-35),35,EJT181
8,AP5,-2,6,late (levels 36-49),36,EJT181
9,AP5,-5,1,late (levels 36-49),44,EJT181
10,AP5,-6,3,late (levels 36-49),45,EJT181
11,AP5,-6,5,early (levels 12-20),14,EJT182
12,AP5,5,12,middle (levels 21-35),29,EJT182
13,AP5,-2,5,middle (levels 21-35),21,EJT184
14,AP5,-3,6,middle (levels 21-35),35,EJT184
15,AP5,2,1,late (levels 36-49),41,EJT184
16,AP5,-9,5,early (levels 12-20),14,EJT185
17,AP5,-10,7,middle (levels 21-35),28,EJT185
18,AP5,2,6,early (levels 12-20),15,EJT192
19,AP5,-5,-3,early (levels 12-20),16,EJT192
20,AP5,-2,10,late (levels 36-49),40,EJT192
21,AP5,5,8,late (levels 36-49),41,EJT192
22,AP5,-12,10,early (levels 12-20),19,EJT193
23,AP5,6,3,middle (levels 21-35),23,EJT193
24,AP5,-2,5,late (levels 36-49),43,EJT193
25,Saline,1,0,early (levels 12-20),12,EJT179
26,Saline,8,3,middle (levels 21-35),25,EJT179
27,Saline,-1,3,late (levels 36-49),46,EJT179
28,Saline,3,2,early (levels 12-20),16,EJT180
29,Saline,-1,2,early (levels 12-20),12,EJT181
30,Saline,2,-1,middle (levels 21-35),24,EJT181
31,Saline,3,1,middle (levels 21-35),25,EJT181
32,Saline,3,4,late (levels 36-49),40,EJT181
33,Saline,-3,4,late (levels 36-49),42,EJT181
34,Saline,-2,3,late (levels 36-49),45,EJT181
35,Saline,3,4,early (levels 12-20),12,EJT184
36,Saline,3,2,middle (levels 21-35),35,EJT184
37,Saline,3,3,late (levels 36-49),47,EJT184
38,Saline,7,4,early (levels 12-20),13,EJT185
39,Saline,9,8,middle (levels 21-35),29,EJT185
40,Saline,-2,5,early (levels 12-20),19,EJT192
41,Saline,-4,4,middle (levels 21-35),23,EJT192
42,Saline,-11,2,late (levels 36-49),42,EJT192
43,Saline,2,4,early (levels 12-20),15,EJT193
44,Saline,3,5,middle (levels 21-35),35,EJT193
